minute,class,TVC,MQ135,MQ2,MQ3,Humidity,Temperature
273,excellent,2.954695497,24.4,7.83,22.96,68.8,37.1
274,excellent,2.958089996,24.75,7.8,23.07,68.1,36.4
275,excellent,2.961501411,24.52,7.8,22.96,68.8,37.1
276,excellent,2.964929693,24.52,7.83,22.96,68.8,37.1
277,excellent,2.96837479,24.52,7.68,22.96,68.9,37.2
278,excellent,2.971836653,24.4,7.71,22.86,68.8,37.2
279,excellent,2.975315228,24.4,7.74,22.75,68.9,37.2
280,excellent,2.978810462,24.4,7.77,22.64,69.1,37.1
281,excellent,2.982322301,24.52,7.71,22.64,69.2,37.3
282,excellent,2.985850687,24.63,7.74,22.96,69.3,37.2
283,excellent,2.989395565,24.4,7.74,22.86,69.4,37.2
284,excellent,2.992956877,24.29,7.74,22.86,69.3,37.2
285,excellent,2.996534563,24.29,7.74,22.64,69.3,37.2
286,good,3.000128564,24.4,7.71,22.75,69.4,37.2
287,good,3.003738819,24.29,7.71,22.86,69.4,37.2
288,good,3.007365265,24.4,7.71,22.86,69.4,37.4
289,good,3.01100784,24.52,7.68,22.86,69.4,37.3
290,good,3.01466648,24.29,7.68,22.64,69.4,37.2
291,good,3.01834112,24.17,7.65,22.64,68.8,36.9
292,good,3.022031694,24.4,7.62,22.86,69.5,37.3
293,good,3.025738136,24.29,7.68,22.64,69.5,37.3
294,good,3.029460379,24.4,7.62,22.86,69.6,37.3
295,good,3.033198353,24.17,7.62,22.54,69.5,37.4
296,good,3.03695199,24.29,7.62,22.54,69.6,37.3
297,good,3.04072122,24.52,7.65,22.75,69.5,37.3
298,good,3.044505971,24.29,7.65,22.75,69.5,37.1
299,good,3.048306173,24.4,7.65,22.75,69.6,37.3
300,good,3.052121753,24.4,7.62,22.44,69.6,37.4
301,good,3.055952638,24.4,7.65,22.44,69.7,37.4
302,good,3.059798753,24.52,7.58,22.44,69.7,37.4
303,good,3.063660026,24.4,7.58,22.75,69.7,37.4
304,good,3.067536379,24.52,7.55,22.75,69.7,37.4
305,good,3.071427738,24.17,7.52,22.44,69.7,37.5
306,good,3.075334026,23.95,7.52,22.33,69.7,37.4
307,good,3.079255165,24.29,7.52,22.54,69.7,37.4
308,good,3.083191078,24.29,7.49,22.54,69.7,37.4
309,good,3.087141687,23.95,7.49,22.23,69.7,37.4
310,good,3.091106912,24.29,7.46,22.44,69.8,37.4
311,good,3.095086674,24.17,7.46,22.54,69.9,37.4
312,good,3.099080894,24.06,7.43,22.44,70.0,37.1
313,good,3.103089489,23.95,7.43,22.33,70.0,37.4
314,good,3.10711238,23.83,7.43,22.33,70.0,37.5
315,good,3.111149485,24.17,7.43,22.44,70.0,37.5
316,good,3.115200722,23.83,7.41,22.13,70.0,37.5
317,good,3.119266009,23.95,7.41,22.33,70.0,37.5
318,good,3.123345261,23.95,7.35,22.33,70.1,37.5
319,good,3.127438397,24.06,7.38,22.13,70.0,37.7
320,good,3.131545333,23.72,7.38,22.33,70.1,37.5
321,good,3.135665985,23.95,7.38,22.33,70.2,37.5
322,good,3.139800267,23.83,7.32,22.33,70.1,37.5
323,good,3.143948097,23.83,7.32,22.03,70.1,37.5
324,good,3.148109388,23.61,7.32,22.23,70.1,37.5
325,good,3.152284055,23.61,7.29,22.13,70.2,37.5
326,good,3.156472012,23.61,7.29,22.23,70.2,37.7
327,good,3.160673175,23.95,7.26,22.03,70.2,37.5
328,good,3.164887456,23.61,7.26,22.13,70.3,37.6
329,good,3.16911477,23.72,7.26,22.23,70.1,37.3
330,good,3.17335503,23.72,7.23,22.03,70.1,37.6
331,good,3.177608149,23.61,7.26,22.23,70.2,37.5
332,good,3.18187404,23.61,7.23,22.03,70.0,37.5
333,good,3.186152616,23.83,7.23,22.03,70.0,37.6
334,good,3.190443791,23.61,7.23,22.23,70.1,37.5
335,good,3.194747476,23.5,7.23,22.03,70.2,37.6
336,good,3.199063584,23.61,7.23,22.13,70.2,37.5
337,good,3.203392029,23.39,7.2,22.03,70.3,37.6
338,good,3.207732721,23.83,7.17,22.03,70.3,37.6
339,good,3.212085574,23.61,7.2,22.03,70.4,37.6
340,good,3.2164505,23.72,7.17,21.93,70.2,37.6
341,good,3.22082741,23.72,7.14,21.93,70.3,37.6
342,good,3.225216218,23.5,7.17,21.83,70.3,37.6
343,good,3.229616836,23.5,7.14,21.83,69.6,36.8
344,good,3.234029175,23.5,7.14,22.03,70.5,37.6
345,good,3.238453148,23.72,7.11,22.03,70.5,37.6
346,good,3.242888667,23.39,7.06,21.73,70.6,37.6
347,good,3.247335645,23.28,7.06,21.63,70.6,37.6
348,good,3.251793994,23.5,7.03,21.63,70.7,37.6
349,good,3.256263626,23.28,7.06,21.83,70.7,37.6
350,good,3.260744455,23.18,7.03,21.73,70.8,37.8
351,good,3.265236392,23.18,7.03,21.83,70.8,37.6
352,good,3.269739351,23.28,7.0,21.93,70.9,37.6
353,good,3.274253245,23.18,6.97,21.83,70.9,37.6
354,good,3.278777986,23.39,6.94,21.63,70.9,37.6
355,good,3.283313488,23.28,6.94,21.83,70.8,37.7
356,good,3.287859664,23.28,6.89,21.63,70.8,37.7
357,good,3.292416428,23.28,6.86,21.63,70.8,37.8
358,good,3.296983693,22.96,6.86,21.53,70.8,37.6
359,good,3.301561374,23.07,6.86,21.53,70.8,37.7
360,good,3.306149385,22.96,6.83,21.83,71.4,38.5
361,good,3.310747639,22.86,6.83,21.73,70.8,37.7
362,good,3.315356053,23.07,6.81,21.53,70.8,37.7
363,good,3.31997454,22.75,6.81,21.63,71.0,37.6
364,good,3.324603015,22.65,6.75,21.43,70.9,37.8
365,good,3.329241394,22.65,6.72,21.43,71.0,37.7
366,good,3.333889594,22.65,6.78,21.63,71.0,37.7
367,good,3.338547528,22.75,6.75,21.53,70.9,37.4
368,good,3.343215115,22.75,6.7,21.33,71.0,37.7
369,good,3.347892269,22.65,6.72,21.24,71.0,37.7
370,good,3.352578909,22.54,6.72,21.33,71.1,37.7
371,good,3.357274951,22.75,6.61,21.05,70.9,37.8
372,good,3.361980312,22.54,6.67,21.43,71.0,37.8
373,good,3.366694911,22.54,6.61,21.33,71.0,37.8
374,good,3.371418665,22.54,6.61,21.43,70.9,37.8
375,good,3.376151493,22.54,6.61,21.33,70.9,37.7
376,good,3.380893314,22.54,6.53,21.05,70.9,37.8
377,good,3.385644046,22.44,6.56,21.24,70.9,37.8
378,good,3.39040361,22.44,6.56,21.14,70.8,37.8
379,good,3.395171925,22.65,6.53,20.95,70.8,37.8
380,good,3.399948911,22.54,6.51,21.14,70.9,37.8
381,good,3.40473449,22.24,6.53,21.14,70.8,37.0
382,good,3.409528582,22.44,6.51,21.05,70.8,37.8
383,good,3.414331108,22.54,6.48,20.95,70.8,37.8
384,good,3.419141991,22.44,6.48,20.86,70.9,37.9
385,good,3.423961152,22.34,6.51,21.14,70.8,37.8
386,good,3.428788515,22.24,6.48,21.05,70.9,37.8
387,good,3.433624002,22.24,6.48,21.05,70.9,37.8
388,good,3.438467537,22.14,6.45,20.95,71.5,38.0
389,good,3.443319044,22.34,6.45,20.95,70.9,37.9
390,good,3.448178446,22.44,6.43,20.77,71.0,37.8
391,good,3.45304567,22.14,6.4,20.77,70.9,37.8
392,good,3.457920639,22.44,6.45,20.95,71.0,37.8
393,good,3.46280328,22.03,6.4,20.86,71.1,37.8
394,good,3.467693519,22.14,6.43,20.95,71.1,37.8
395,good,3.472591283,22.03,6.38,20.77,71.7,38.0
396,good,3.477496497,22.24,6.38,20.58,71.1,37.8
397,good,3.482409091,22.24,6.38,20.77,71.3,37.8
398,good,3.487328991,22.24,6.35,20.49,71.2,37.5
399,good,3.492256126,22.14,6.4,20.77,71.2,37.8
400,good,3.497190424,22.14,6.35,20.49,71.2,37.8
401,good,3.502131817,22.24,6.27,20.13,71.2,37.9
402,good,3.507080231,22.24,6.35,20.67,71.2,37.9
403,good,3.5120356,22.03,6.35,20.58,71.2,37.9
404,good,3.516997852,22.24,6.3,20.31,71.2,37.9
405,good,3.521966918,22.03,6.32,20.49,71.2,37.7
